Abiotrophia defectiva
Absiella dolichum
Acaricomes phytoseiuli
Acaryochloris marina
Acetanaerobacterium elongatum
Acetitomaculum ruminis
Acetivibrio ethanolgignens
Acetoanaerobium sticklandii
Acetobacter aceti
Acetobacter ascendens
Acetobacter cibinongensis
Acetobacter ghanensis
Acetobacter indonesiensis
Acetobacter nitrogenifigens
Acetobacter okinawensis
Acetobacter orientalis
Acetobacter papayae
Acetobacter persici
Acetobacter senegalensis
Acetobacterium bakii
Acetobacterium dehalogenans
Acetobacterium wieringae
Acetobacterium woodii
Acetohalobium arabaticum
Acetomicrobium hydrogeniformans
Acetomicrobium mobile
Acetonema longum
Acholeplasma axanthum
Acholeplasma brassicae
Acholeplasma equifetale
Acholeplasma granularum
Acholeplasma hippikon
Acholeplasma laidlawii
Acholeplasma modicum
Acholeplasma multilocale
Acholeplasma oculi
Acholeplasma palmae
Achromobacter xylosoxidans
Acidaminobacter hydrogenoformans
Acidaminococcus fermentans
Acidaminococcus intestini
Acidaminococcus timonensis
Acidianus hospitalis
Acidibacillus ferrooxidans
Acidiferrobacter thiooxydans
Acidihalobacter ferrooxidans
Acidihalobacter prosperus
Acidilobus saccharovorans
Acidimicrobium ferrooxidans
Acidiphilium angustum
Acidiphilium multivorum
Acidiplasma aeolicum
Acidipropionibacterium acidipropionici
Acidipropionibacterium jensenii
Acidipropionibacterium thoenii
Acidisphaera rubrifaciens
Acidithiobacillus caldus
Acidithiobacillus ferrivorans
Acidithiobacillus ferrooxidans
Acidithiobacillus thiooxidans
Acidithrix ferrooxidans
Acidobacterium ailaaui
Acidobacterium capsulatum
Acidocella aminolytica
Acidocella facilis
Acidomonas methanolica
Acidothermus cellulolyticus
Acidovorax avenae
Acidovorax caeni
Acidovorax delafieldii
Acidovorax konjaci
Acidovorax radicis
Acidovorax soli
Acidovorax temperans
Acidovorax valerianellae
Acidovorax wautersii
Aciduliprofundum boonei
Acinetobacter apis
Acinetobacter baumannii
Acinetobacter beijerinckii
Acinetobacter bohemicus
Acinetobacter boissieri
Acinetobacter bouvetii
Acinetobacter brisouii
Acinetobacter celticus
Acinetobacter defluvii
Acinetobacter equi
Acinetobacter gerneri
Acinetobacter guillouiae
Acinetobacter gyllenbergii
Acinetobacter harbinensis
Acinetobacter indicus
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter kookii
Acinetobacter larvae
Acinetobacter marinus
Acinetobacter nectaris
Acinetobacter parvus
Acinetobacter populi
Acinetobacter qingfengensis
Acinetobacter radioresistens
Acinetobacter rudis
Acinetobacter schindleri
Acinetobacter soli
Acinetobacter tandoii
Acinetobacter towneri
Acinetobacter ursingii
Actibacterium atlanticum
Actibacterium mucosum
Actinoalloteichus cyanogriseus
Actinoalloteichus hoggarensis
Actinoalloteichus hymeniacidonis
Actinobacillus succinogenes
Actinobacillus suis
actinobacterium LLX17
Actinobaculum massiliense
Actinobaculum suis
Actinocatenispora sera
Actinokineospora bangkokensis
Actinokineospora enzanensis
Actinokineospora inagensis
Actinokineospora spheciospongiae
Actinokineospora terrae
Actinomadura atramentaria
Actinomadura chibensis
Actinomadura flavalba
Actinomadura formosensis
Actinomadura hibisca
Actinomadura kijaniata
Actinomadura latina
Actinomadura macra
Actinomadura madurae
Actinomadura mexicana
Actinomadura meyerae
Actinomadura oligospora
Actinomadura rifamycini
Actinomadura rubrobrunea
Actinomyces cardiffensis
Actinomyces coleocanis
Actinomyces dentalis
Actinomyces gerencseriae
Actinomyces glycerinitolerans
Actinomyces graevenitzii
Actinomyces hongkongensis
Actinomyces hordeovulneris
Actinomyces israelii
Actinomyces johnsonii
Actinomyces liubingyangii
Actinomyces marimammalium
Actinomyces massiliensis
Actinomyces meyeri
Actinomyces nasicola
Actinomyces neuii
Actinomyces odontolyticus
Actinomyces oris
Actinomyces polynesiensis
Actinomyces provencensis
Actinomyces radicidentis
Actinomyces radingae
Actinomyces ruminicola
Actinomyces slackii
Actinomyces suimastitidis
Actinomyces timonensis
Actinomyces turicensis
Actinomyces urinae
Actinomyces urogenitalis
Actinomyces vaccimaxillae
Actinomyces vulturis
Actinomycetospora chiangmaiensis
Actinophytocola xanthii
Actinophytocola xinjiangensis
Actinoplanes awajinensis
Actinoplanes derwentensis
Actinoplanes friuliensis
Actinoplanes globisporus
Actinoplanes missouriensis
Actinoplanes philippinensis
Actinoplanes rectilineatus
Actinoplanes regularis
Actinoplanes utahensis
Actinopolymorpha alba
Actinopolymorpha cephalotaxi
Actinopolymorpha singaporensis
Actinopolyspora halophila
Actinopolyspora mortivallis
Actinopolyspora righensis
Actinopolyspora xinjiangensis
Actinospica robiniae
Actinosynnema mirum
Actinotalea ferrariae
Actinotignum schaalii
Actinotignum urinale
Acutalibacter muris
Acuticoccus yangtzensis
Adhaeribacter aquaticus
Adlercreutzia equolifaciens
Advenella mimigardefordensis
Aequorivita capsosiphonis
Aequorivita sublithincola
Aequorivita viscosa
Aequorivita vladivostokensis
Aeribacillus pallidus
Aerococcus christensenii
Aerococcus sanguinicola
Aerococcus suis
Aerococcus urinae
Aerococcus urinaehominis
Aerococcus viridans
Aeromicrobium choanae
Aeromicrobium erythreum
Aeromicrobium marinum
Aeromicrobium massiliense
Aeromonas eucrenophila
Aeromonas fluvialis
Aeromonas molluscorum
Aeromonas salmonicida
Aeromonas schubertii
Aeromonas simiae
Aeropyrum camini
Aestuariibacter aggregatus
Aestuariibacter salexigens
Aestuariimicrobium kwangyangense
Aestuariivita boseongensis
Afifella marina
Afifella pfennigii
Afipia birgiae
Afipia broomeae
Afipia clevelandensis
Afipia felis
Agarivorans albus
Agarivorans gilvus
Agathobaculum desmolans
Aggregatibacter actinomycetemcomitans
Agreia bicolorata
Agrobacterium albertimagni
Agrobacterium larrymoorei
Agrobacterium rhizogenes
Agrobacterium rubi
Agrobacterium vitis
Agrococcus baldri
Agrococcus carbonis
Agrococcus casei
Agrococcus jejuensis
Agrococcus lahaulensis
Agromyces aureus
Agromyces cerinus
Agromyces flavus
Agromyces italicus
Agromyces subbeticus
Ahrensia kielensis
Aidingimonas halophila
Akkermansia glycaniphila
Akkermansia muciniphila
Albidovulum xiamenense
Albimonas donghaensis
Albimonas pacifica
Alcaligenes faecalis
Alcanivorax borkumensis
Alcanivorax dieselolei
Alcanivorax hongdengensis
Alcanivorax jadensis
Alcanivorax nanhaiticus
Alcanivorax pacificus
Algibacter alginicilyticus
Algibacter aquaticus
Algibacter lectus
Algibacter pectinivorans
Algicola sagamiensis
Algiphilus aromaticivorans
Algoriella xinjiangensis
Algoriphagus alkaliphilus
Algoriphagus antarcticus
Algoriphagus aquimarinus
Algoriphagus faecimaris
Algoriphagus halophilus
Algoriphagus hitonicola
Algoriphagus machipongonensis
Algoriphagus mannitolivorans
Algoriphagus marincola
Algoriphagus marinus
Algoriphagus ornithinivorans
Algoriphagus ratkowskyi
Algoriphagus resistens
Algoriphagus terrigena
Algoriphagus vanfongensis
Algoriphagus zhangzhouensis
Aliagarivorans marinus
Alicycliphilus denitrificans
Alicyclobacillus acidiphilus
Alicyclobacillus acidocaldarius
Alicyclobacillus acidoterrestris
Alicyclobacillus contaminans
Alicyclobacillus ferrooxydans
Alicyclobacillus herbarius
Alicyclobacillus hesperidum
Alicyclobacillus kakegawensis
