#Species/genus	Genomes	Organism name	Chromosome RefSeq	Chromosome GenBank	Plasmid RefSeq	Plasmid GenBank	WGS	CODE	Comment	PubmedIDs	External link	UniProt
Abiotrophia defectiva	1	Abiotrophia defectiva ATCC 49176					ACIN03	TYS				
Absiella dolichum	3	Absiella dolichum DSM 3991					ABAW02	TYS				
Acaricomes phytoseiuli	1	Acaricomes phytoseiuli DSM 14247					AQXM01	TYS				
Acaryochloris marina	1	Acaryochloris marina MBIC11017	NC_009925.1	CP000828.1	NC_009933.1,NC_009926.1,NC_009932.1,NC_009928.1,NC_009934.1,NC_009930.1,NC_009929.1,NC_009927.1,NC_009931.1	CP000845.1,CP000838.1,CP000844.1,CP000840.1,CP000846.1,CP000842.1,CP000841.1,CP000839.1,CP000843.1		TYS				UP000000268
Acetanaerobacterium elongatum	1	Acetanaerobacterium elongatum					FNID01					
Acetitomaculum ruminis	1	Acetitomaculum ruminis DSM 5522					FOJY01	TYS				
Acetivibrio ethanolgignens	1	Acetivibrio ethanolgignens					LNAM01					
Acetoanaerobium sticklandii	1	Acetoanaerobium sticklandii	NC_014614.1	FP565809.1				TYS				UP000007041
Acetobacter aceti	7	Acetobacter aceti	NZ_CP014692.1	CP014692.1								
Acetobacter ascendens	3	Acetobacter ascendens	NZ_CP015164.1	CP015164.1	NZ_CP015166.1,NZ_CP015165.1,NZ_CP015167.1	CP015166.1,CP015165.1,CP015167.1		TYS				
Acetobacter cibinongensis	2	Acetobacter cibinongensis 4H-1					BAMV01	TYS				
Acetobacter ghanensis	1	Acetobacter ghanensis	NZ_LN609302.1	LN609302.1	NZ_LN609304.1,NZ_LN609303.1	LN609304.1,LN609303.1		TYS				
Acetobacter indonesiensis	3	Acetobacter indonesiensis 5H-1					BAMW01	TYS				
Acetobacter nitrogenifigens	1	Acetobacter nitrogenifigens DSM 23921 = LMG 23498					AUBI01	TYS				
Acetobacter okinawensis	2	Acetobacter okinawensis JCM 25146					BAJU01	TYS				
Acetobacter orientalis	6	Acetobacter orientalis 21F-2					BAMX01	TYS				
Acetobacter papayae	1	Acetobacter papayae JCM 25143					BAIN01	TYS				
Acetobacter persici	3	Acetobacter persici	NZ_CP014687.1	CP014687.1	NZ_CP014688.1	CP014688.1						
Acetobacter senegalensis	3	Acetobacter senegalensis	NZ_LN606600.1	LN606600.1	NZ_LN606601.1	LN606601.1						
Acetobacterium bakii	3	Acetobacterium bakii					LGYO01	TYS				
Acetobacterium dehalogenans	1	Acetobacterium dehalogenans DSM 11527					AXAC01	TYS				
Acetobacterium wieringae	1	Acetobacterium wieringae					LKEU01	TYS				
Acetobacterium woodii	1	Acetobacterium woodii DSM 1030	NC_016894.1	CP002987.1				TYS				UP000007177
Acetohalobium arabaticum	1	Acetohalobium arabaticum DSM 5501	NC_014378.1	CP002105.1				TYS				UP000001661
Acetomicrobium hydrogeniformans	1	Acetomicrobium hydrogeniformans ATCC BAA-1850					ACJX03	TYS				
Acetomicrobium mobile	1	Acetomicrobium mobile DSM 13181	NC_018024.1	CP003198.1				TYS				UP000006061
Acetonema longum	1	Acetonema longum DSM 6540					AFGF01	TYS				
Acholeplasma axanthum	1	Acholeplasma axanthum ATCC 25176					AUAL01	TYS				
Acholeplasma brassicae	1	Acholeplasma brassicae	NC_022549.1	FO681348.1								
Acholeplasma equifetale	1	Acholeplasma equifetale ATCC 29724					JHXL01	TYS				
Acholeplasma granularum	1	Acholeplasma granularum ATCC 19168					JAFR01	TYS				
Acholeplasma hippikon	1	Acholeplasma hippikon ATCC 29725					JNJT01	TYS				
Acholeplasma laidlawii	10	Acholeplasma laidlawii PG-8A	NC_010163.1	CP000896.1				TYS				UP000008558
Acholeplasma modicum	1	Acholeplasma modicum ATCC 29102					JHYB01	TYS				
Acholeplasma multilocale	1	Acholeplasma multilocale ATCC 49900					AXXW01	TYS				
Acholeplasma oculi	3	Acholeplasma oculi	NZ_LK028559.1	LK028559.1								
Acholeplasma palmae	1	Acholeplasma palmae J233	NC_022538.1	FO681347.1				TYS				
Achromobacter xylosoxidans	68	Achromobacter xylosoxidans	NZ_LN831029.1	LN831029.1				TYS				
Acidaminobacter hydrogenoformans	1	Acidaminobacter hydrogenoformans DSM 2784					FMWL01	TYS				
Acidaminococcus fermentans	6	Acidaminococcus fermentans DSM 20731	NC_013740.1	CP001859.1				TYS				UP000001902
Acidaminococcus intestini	3	Acidaminococcus intestini RyC-MR95	NC_016077.1	CP003058.1								UP000007093
Acidaminococcus timonensis	1	Acidaminococcus timonensis					FNWH01	TYS				
Acidianus hospitalis	2	Acidianus hospitalis W1	NC_015518.1	CP002535.1								UP000008458
Acidibacillus ferrooxidans	4	Acidibacillus ferrooxidans					LSUQ01	TYS				
Acidiferrobacter thiooxydans	2	Acidiferrobacter thiooxydans					MDCF01					
Acidihalobacter ferrooxidans	1	Acidihalobacter ferrooxidans	NZ_CP019434.1	CP019434.1								
Acidihalobacter prosperus	3	Acidihalobacter prosperus	NZ_CP017448.1	CP017448.1	NZ_CP017449.1	CP017449.1						
Acidilobus saccharovorans	1	Acidilobus saccharovorans 345-15	NC_014374.1	CP001742.1				TYS				UP000000346
Acidimicrobium ferrooxidans	1	Acidimicrobium ferrooxidans DSM 10331	NC_013124.1	CP001631.1				TYS				UP000000771
Acidiphilium angustum	1	Acidiphilium angustum ATCC 35903					JNJH01	TYS				
Acidiphilium multivorum	2	Acidiphilium multivorum AIU301	NC_015186.1	AP012035.1	NC_015189.1,NC_015188.1,NC_015179.1,NC_015181.1,NC_015178.1,NC_015187.1,NC_015182.1,NC_015180.1	AP012042.1,AP012039.1,AP012038.1,AP012041.1,AP012036.1,AP012037.1,AP012043.1,AP012040.1		TYS				UP000007100
Acidiplasma aeolicum	2	Acidiplasma aeolicum					LKBG01	TYS				
Acidipropionibacterium acidipropionici	7	Acidipropionibacterium acidipropionici	NZ_CP013126.1	CP013126.1				TYS				
Acidipropionibacterium jensenii	4	Acidipropionibacterium jensenii DSM 20535					AUDD01	TYS				
Acidipropionibacterium thoenii	1	Acidipropionibacterium thoenii DSM 20276					AUHZ01	TYS				
Acidisphaera rubrifaciens	1	Acidisphaera rubrifaciens HS-AP3					BANB01	TYS				
Acidithiobacillus caldus	7	Acidithiobacillus caldus ATCC 51756	NZ_CP005986.1	CP005986.1	NZ_CP005988.1,NZ_CP005989.1,NZ_CP005987.1	CP005988.1,CP005989.1,CP005987.1		TYS				UP000005522
Acidithiobacillus ferrivorans	6	Acidithiobacillus ferrivorans SS3	NC_015942.1	CP002985.1								UP000009220
Acidithiobacillus ferrooxidans	9	Acidithiobacillus ferrooxidans ATCC 23270	NC_011761.1	CP001219.1				TYS				UP000001362
Acidithiobacillus thiooxidans	11	Acidithiobacillus thiooxidans ATCC 19377					AFOH01	TYS				
Acidithrix ferrooxidans	1	Acidithrix ferrooxidans					JXYS01	TYS				
Acidobacterium ailaaui	1	Acidobacterium ailaaui					JIAL01	TYS				
Acidobacterium capsulatum	1	Acidobacterium capsulatum ATCC 51196	NC_012483.1	CP001472.1				TYS				UP000002207
Acidocella aminolytica	2	Acidocella aminolytica 101 = DSM 11237					FQVJ01	TYS				
Acidocella facilis	1	Acidocella facilis ATCC 35904					JHYG01	TYS				
Acidomonas methanolica	1	Acidomonas methanolica NBRC 104435					BAND01	TYS				
Acidothermus cellulolyticus	1	Acidothermus cellulolyticus 11B	NC_008578.1	CP000481.1				TYS				UP000008221
Acidovorax avenae	18	Acidovorax avenae subsp. avenae ATCC 19860	NC_015138.1	CP002521.1				TYS				UP000002482
Acidovorax caeni	2	Acidovorax caeni					CYIG01	TYS				
Acidovorax delafieldii	5	Acidovorax delafieldii					LSHP01					
Acidovorax konjaci	1	Acidovorax konjaci					FOMQ01	TYS				
Acidovorax radicis	2	Acidovorax radicis N35					AFBG01	TYS				
Acidovorax soli	1	Acidovorax soli					FNQJ01	TYS				
Acidovorax temperans	1	Acidovorax temperans					JXYQ01					
Acidovorax valerianellae	1	Acidovorax valerianellae					FMZC01	TYS				
Acidovorax wautersii	1	Acidovorax wautersii					FONX01	TYS				
Aciduliprofundum boonei	2	Aciduliprofundum boonei T469	NC_013926.1	CP001941.1								UP000001400
Acinetobacter apis	1	Acinetobacter apis					FZLN01					
Acinetobacter baumannii	3539	Acinetobacter baumannii	NZ_CP009257.1	CP009257.1								
Acinetobacter beijerinckii	3	Acinetobacter beijerinckii CIP 110307					APQL01					
Acinetobacter bohemicus	2	Acinetobacter bohemicus ANC 3994					APOH01	TYS				
Acinetobacter boissieri	1	Acinetobacter boissieri					FMYL01					
Acinetobacter bouvetii	3	Acinetobacter bouvetii DSM 14964 = CIP 107468					APQD01	TYS				
Acinetobacter brisouii	4	Acinetobacter brisouii CIP 110357					AYEU01	TYS				
Acinetobacter celticus	1	Acinetobacter celticus					MBDL01	TYS				
Acinetobacter defluvii	1	Acinetobacter defluvii	NZ_CP029397.1	CP029397.1	NZ_CP029393.1,NZ_CP029395.1,NZ_CP029394.1,NZ_CP029392.1,NZ_CP029391.1,NZ_CP029396.1,NZ_CP029389.1,NZ_CP029390.1	CP029393.1,CP029395.1,CP029394.1,CP029392.1,CP029391.1,CP029396.1,CP029389.1,CP029390.1		TYS				
Acinetobacter equi	1	Acinetobacter equi	NZ_CP012808.1	CP012808.1				TYS				
Acinetobacter gerneri	3	Acinetobacter gerneri DSM 14967 = CIP 107464					APPN01	TYS				
Acinetobacter guillouiae	5	Acinetobacter guillouiae NIPH 991					APPJ01					
Acinetobacter gyllenbergii	5	Acinetobacter gyllenbergii NIPH 230					AYEQ01					
Acinetobacter harbinensis	1	Acinetobacter harbinensis					JXBK01	TYS				
Acinetobacter indicus	33	Acinetobacter indicus CIP 110367					AYET01	TYS				
Acinetobacter johnsonii	23	Acinetobacter johnsonii XBB1	NZ_CP010350.1	CP010350.1	NZ_CP010354.1,NZ_CP010356.1,NZ_CP010357.1,NZ_CP010358.1,NZ_CP010355.1,NZ_CP010353.1,NZ_CP010352.1,NZ_CP010351.1	CP010354.1,CP010356.1,CP010357.1,CP010358.1,CP010355.1,CP010353.1,CP010352.1,CP010351.1						
Acinetobacter junii	29	Acinetobacter junii	NZ_CP019041.1	CP019041.1								
Acinetobacter kookii	1	Acinetobacter kookii					FMYO01					
Acinetobacter larvae	1	Acinetobacter larvae	NZ_CP016895.1	CP016895.1				TYS				
Acinetobacter marinus	1	Acinetobacter marinus					FMYK01					
Acinetobacter nectaris	1	Acinetobacter nectaris CIP 110549					AYER01	TYS				
Acinetobacter parvus	5	Acinetobacter parvus DSM 16617 = CIP 108168					APOM01	TYS				
Acinetobacter populi	1	Acinetobacter populi					NEXX01	TYS				
Acinetobacter qingfengensis	1	Acinetobacter qingfengensis					MKKK01					
Acinetobacter radioresistens	47	Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788					APQF01	TYS				
Acinetobacter rudis	2	Acinetobacter rudis					BBRX01	TYS				
Acinetobacter schindleri	9	Acinetobacter schindleri	NZ_CP015615.1	CP015615.1	NZ_CP015618.1,NZ_CP015620.1,NZ_CP015619.1,NZ_CP015617.1,NZ_CP015621.1,NZ_CP015616.1	CP015618.1,CP015620.1,CP015619.1,CP015617.1,CP015621.1,CP015616.1						
Acinetobacter soli	12	Acinetobacter soli	NZ_CP016896.1	CP016896.1	NZ_CP016898.1,NZ_CP016897.1,NZ_CP016899.1,NZ_CP016903.1,NZ_CP016900.1,NZ_CP016902.1,NZ_CP016901.1	CP016898.1,CP016897.1,CP016899.1,CP016903.1,CP016900.1,CP016902.1,CP016901.1						
