species	GBSeq_accession-version
Abiotrophia_defectiva	ACIN03
Absiella_dolichum	ABAW02
Acaricomes_phytoseiuli	AQXM01
Acetanaerobacterium_elongatum	FNID01
Acetitomaculum_ruminis	FOJY01
Acetivibrio_ethanolgignens	LNAM01
Acetobacter_cibinongensis	BAMV01
Acetobacter_indonesiensis	BAMW01
Acetobacter_nitrogenifigens	AUBI01
Acetobacter_okinawensis	BAJU01
Acetobacter_orientalis	BAMX01
Acetobacter_papayae	BAIN01
Acetobacterium_bakii	LGYO01
Acetobacterium_dehalogenans	AXAC01
Acetobacterium_wieringae	LKEU01
Acetomicrobium_hydrogeniformans	ACJX03
Acetonema_longum	AFGF01
Acholeplasma_axanthum	AUAL01
Acholeplasma_equifetale	JHXL01
Acholeplasma_granularum	JAFR01
Acholeplasma_hippikon	JNJT01
Acholeplasma_modicum	JHYB01
Acholeplasma_multilocale	AXXW01
Acidaminobacter_hydrogenoformans	FMWL01
Acidaminococcus_timonensis	FNWH01
Acidibacillus_ferrooxidans	LSUQ01
Acidiferrobacter_thiooxydans	MDCF01
Acidiphilium_angustum	JNJH01
Acidiplasma_aeolicum	LKBG01
Acidipropionibacterium_jensenii	AUDD01
Acidipropionibacterium_thoenii	AUHZ01
Acidisphaera_rubrifaciens	BANB01
Acidithiobacillus_thiooxidans	AFOH01
Acidithrix_ferrooxidans	JXYS01
Acidobacterium_ailaaui	JIAL01
Acidocella_aminolytica	FQVJ01
Acidocella_facilis	JHYG01
Acidomonas_methanolica	BAND01
Acidovorax_caeni	CYIG01
Acidovorax_delafieldii	LSHP01
Acidovorax_konjaci	FOMQ01
Acidovorax_radicis	AFBG01
Acidovorax_soli	FNQJ01
Acidovorax_temperans	JXYQ01
Acidovorax_valerianellae	FMZC01
Acidovorax_wautersii	FONX01
Acinetobacter_apis	FZLN01
Acinetobacter_beijerinckii	APQL01
Acinetobacter_bohemicus	APOH01
Acinetobacter_boissieri	FMYL01
Acinetobacter_bouvetii	APQD01
Acinetobacter_brisouii	AYEU01
Acinetobacter_celticus	MBDL01
Acinetobacter_gerneri	APPN01
Acinetobacter_guillouiae	APPJ01
Acinetobacter_gyllenbergii	AYEQ01
Acinetobacter_harbinensis	JXBK01
Acinetobacter_indicus	AYET01
Acinetobacter_kookii	FMYO01
Acinetobacter_marinus	FMYK01
Acinetobacter_nectaris	AYER01
Acinetobacter_parvus	APOM01
Acinetobacter_populi	NEXX01
Acinetobacter_qingfengensis	MKKK01
Acinetobacter_radioresistens	APQF01
Acinetobacter_rudis	BBRX01
Acinetobacter_tandoii	AQFM01
Acinetobacter_towneri	APPY01
Acinetobacter_ursingii	APQA01
Actibacterium_atlanticum	AQQY01
Actibacterium_mucosum	JFKE01
Actinoalloteichus_cyanogriseus	JODV01
actinobacterium_LLX17	AUZE01
Actinobaculum_massiliense	CYUL01
Actinobaculum_suis	FNAU01
Actinocatenispora_sera	JOEG01
Actinokineospora_bangkokensis	MKQR01
Actinokineospora_enzanensis	ARFV01
Actinokineospora_inagensis	AXWW01
Actinokineospora_spheciospongiae	AYXG01
Actinokineospora_terrae	FOGI01
Actinomadura_atramentaria	ARMS01
Actinomadura_chibensis	BCQP01
Actinomadura_flavalba	ARFO01
Actinomadura_formosensis	BCQQ01
Actinomadura_hibisca	BCRO01
Actinomadura_kijaniata	BCQR01
Actinomadura_latina	BCQS01
Actinomadura_macra	BCQT01
Actinomadura_madurae	FOVH01
Actinomadura_mexicana	FZNP01
Actinomadura_meyerae	FZOR01
Actinomadura_oligospora	JADG01
Actinomadura_rifamycini	AULB01
Actinomadura_rubrobrunea	BCQU01
