Paenibacillus_rhizosphaerae	MRTP01
Paracoccus_sediminis	FZNM01
Fontimonas_thermophila	FOOC01
Pseudorhodobacter_psychrotolerans	LGIC01
Corynebacterium_camporealensis	NZ_CP011311.1
Psychroflexus_torquis	NC_018721.1
Lactobacillus_rennini	AYYI01
Gallaecimonas_xiamenensis	AMRI01
Gluconobacter_oxydans	NC_006677.1
Streptococcus_minor	AQYB01
Bacillus_enclensis	LNQI01
Mycoplasma_meleagridis	JZXN01
Halopiger_goleimassiliensis	CBMB01
Rhodococcus_rhodnii	BCXD01
Photobacterium_jeanii	LVHF01
Salinicoccus_alkaliphilus	FRCF01
Myroides_odoratus	AHKQ01
Mycoplasma_bovoculi	NZ_CP007154.1
Legionella_nautarum	LNYO01
Corynebacterium_cystitidis	FOGQ01
Ruminiclostridium_cellobioparum	AORV01
Legionella_clemsonensis	NZ_CP016397.1
Desulfovibrio_fairfieldensis	NZ_CP014229.1
Ruminiclostridium_hungatei	MZGX01
Geobacillus_thermodenitrificans	NC_009328.1
Methylophilus_rhizosphaerae	FNFX01
Mycobacterium_lepromatosis	JRPY01
Spiroplasma_poulsonii	JTLV02
Halotalea_alkalilenta	NZ_CP015243.1
Enterococcus_massiliensis	CVRN01
Erythrobacter_litoralis	NZ_CP017057.1
Polaribacter_reichenbachii	NZ_CP019419.1
Arthrobacter_alpinus	NZ_CP013200.1
Methanobacterium_congolense	NZ_LT607756.1
Acetobacterium_bakii	LGYO01
Nitrosospira_multiformis	FNKY01
Clostridium_kluyveri	NC_009706.1
Clostridium_saccharolyticum	NC_014376.1
Xenorhabdus_japonica	FOVO01
Sediminibacterium_ginsengisoli	FUWH01
Corynebacterium_bouchesdurhonense	FJVG01
Legionella_adelaidensis	LNKA01
Novosphingobium_aromaticivorans	NC_007794.1
Stenotrophomonas_nitritireducens	NZ_CP016756.1
Fervidicola_ferrireducens	LOED01
Marivita_hallyeonensis	FQXC01
Natrialba_magadii	NC_013922.1
Wigglesworthia_glossinidia	NC_004344.2
Erythrobacter_luteus	LBHB01
Marinomonas_profundimaris	AYOZ01
Glutamicibacter_arilaitensis	NC_014550.1
Leptospira_meyeri	AKXE01
Lactobacillus_hayakitensis	BAML01
Streptococcus_sp._I-G2	NC_022584.1
Cohnella_kolymensis	JXAL01
Salipaludibacillus_agaradhaerens	MTIU01
Erwinia_oleae	JNVB01
Acidocella_aminolytica	FQVJ01
Anaerofustis_stercorihominis	ABIL02
Leeuwenhoekiella_marinoflava	FQUN01
Hymenobacter_psychrotolerans	FRAS01
Terrimicrobium_sacchariphilum	BDCO01
Tessaracoccus_lapidicaptus	MBQD01
Weissella_koreensis	NC_015759.1
Porphyrobacter_donghaensis	MUYG01
Treponema_saccharophilum	AGRW01
Clostridium_formicaceticum	NZ_CP017603.1
Halanaeroarchaeum_sulfurireducens	NZ_CP008874.1
Flexilinea_flocculi	BBYH01
Spirochaeta_cellobiosiphila	AUFW01
